walscode,glottocode
krj,kara1476
krr,kair1263
ksa,east1472
kta,koit1244
ktc,katc1249
ktl,katl1237
kuv,kuvi1243
kwn,kwan1273
kwt,nucl1593
kyk,kyak1244
lac,laca1243
lag,lagw1237
lal,xish1235
lao,laoo1244
lbu,lund1266
lda,gand1255
ldu,lend1245
lec,leco1242
lel,lele1276
lew,lewo1242
lgu,long1395
lho,lhom1239
lmg,lama1288
lmn,lamb1269
lnd,band1344
lot,loth1237
lou,louu1245
mad,madi1260
maj,maja1242
man,mann1248
mbr,mbar1260
mbt,mang1394
mcc,moch1259
mcv,moco1246
mde,mend1266
mdn,mand1446
mee,meen1242
mek,saki1248
mer,meri1244
mga,ndun1249
mgk,mung1266
mgu,musg1254
mhi,mara1378
mik,karb1241
miy,miya1266
miz,lush1249
mka,maho1249
mki,mika1239
mkj,maka1316
mlg,wand1278
mmn,mama1275
mmv,mamv1243
mno,mono1275
moe,erzy1239
mok,moki1238
mon,monn1252
mou,moru1253
mpr,maip1246
mpt,mian1256
mra,mara1385
mru,maru1249
msc,chib1270
msg,misi1242
msk,ngil1242
msl,nucl1440
msn,mais1250
mtb,matu1259
mts,mati1255
mtu,motu1246
mup,mwag1236
mur,murs1242
mus,muss1246
mut,sout2986
mwb,west2555
mxj,pino1237
mxo,ocot1243
mxp,peno1244
mzh,huau1238
nag,yale1246
nak,naka1262
ndb,sout2808
ndj,djee1236
ndo,ndon1254
ngj,ngad1258
ngm,ngam1268
ngn,ngan1295
ngt,tang1336
ngw,ngaw1240
nha,nhan1238
nhm,mich1245
niu,niue1239
noc,noct1238
noo,noon1242
nph,narp1239
nsn,nise1244
nue,nuer1246
nup,nupe1254
nwd,newa1246
nym,nyam1276
nyu,nyul1247
nza,nzak1247
nze,zeme1240
obg,ogbr1243
obo,obol1243
ocu,atzi1235
omi,omie1241
otr,otor1240
paa,paaa1242
pal,pala1344
pam,cent2145
pan,panj1256
par,pari1256
pba,pima1248
pdp,folo1238
per,pero1241
pga,pila1245
pia,piar1243
pkt,poko1263
plk,pali1279
pnu,youn1235
pok,rawo1244
pre,asut1235
prk,puri1258
ptw,patw1250
pwn,pawn1254
qhu,huam1248
qum,sipa1247
ras,tega1236
raw,rawa1265
rem,bond1245
rny,nyan1307
rum,rumu1243
run,rung1258
rwe,wels1246
saa,saaa1240
sal,sali1253
sam,samo1305
sav,savi1242
sem,sumi1235
shl,shil1265
shm,sham1280
shn,shon1251
sho,shos1248
sht,shat1244
sia,sian1257
sid,sida1246
sis,baba1268
skk,sikk1242
slb,sali1295
smn,cree1270
sna,shin1264
sng,sina1266
so,sooo1256
sob,sobe1238
son,sons1242
src,sars1236
stl,sant1410
suk,suki1245
tak,taki1248
tao,tara1313
tar,tari1256
tbo,tbol1240
tee,hueh1236
ten,tenn1246
teo,teop1238
tep,tlac1235
tes,teso1249
tgh,taha1241
tgl,tsha1245
thn,than1259
thy,thay1249
tim,timu1262
tir,trio1238
tja,kumi1248
tml,tami1289
tmo,tibe1272
tna,turk1308
tnc,tana1290
tnn,tune1261
tny,west2466
tob,toba1269
toz,tong1318
tpn,nort2959
tpt,tapi1253
tri,copa1237
trm,suri1267
trr,nort2920
tsk,tama1365
tte,tute1247
tuc,tuca1252
tus,tusc1257
twe,lowl1265
txj,xico1235
tzu,tzut1248
udm,udmu1245
ukr,ukra1253
uld,wuzl1236
urd,urdu1245
url,urak1238
urn,urar1246
urt,urat1244
usr,usar1243
wag,wage1238
wak,wakh1245
wal,valm1241
wat,waja1257
wau,woun1238
wed,weda1241
wly,wola1242
wol,wole1240
wrb,warr1257
wrk,guar1293
wrw,warr1258
xar,xara1244
xbi,komb1272
xho,xhos1239
yal,kosa1249
yng,ying1247
yok,yoku1256
yuk,gang1267
zag,zagh1240
zai,isth1244
zap,mitl1236
zay,zays1235
zhn,guib1245
zpr,zapa1253
zqo,copa1236
zzo,zoog1238
agl,aghu1253
blq,nucl1695
bnw,bani1255
bsm,bisl1239
buw,bulu1251
cmx,como1259
coe,coeu1236
cuu,chuu1238
cvc,chav1241
cwe,colu1241
dhm,dhim1246
err,siee1239
fox,mesk1242
gmt,guma1253
gum,kumb1268
hil,hili1240
hlu,halk1245
hrr,hara1271
ilo,ilok1237
itz,itza1241
kpm,pamp1243
lrd,lard1243
maw,west2500
mja,jami1235
mmb,mbul1263
moj,moha1256
mrq,nort2845
msh,mars1254
muh,seba1251
mwe,mwer1248
mxl,alac1244
nau,naur1243
nde,nand1264
ngk,nang1259
nhc,cent2132
nkr,nuku1260
ojs,seve1240
oka,okan1243
pgl,ping1243
pnn,pang1290
rmb,remb1249
rnd,rund1242
ses,sout2807
sry,sira1267
sst,stra1244
swt,swat1243
tho,thom1243
thw,thao1240
tig,tigr1271
toj,tojo1241
tsw,tswa1253
twa,twan1247
wwy,wara1300
abo,arbo1245
agw,alag1248
bab,veng1238
bys,bais1246
cic,nyan1308
def,defa1248
fgu,pula1262
gdi,godi1239
lin,ling1263
ngg,nang1259
nyh,nyih1240
pil,pile1238
pmc,cent2138
qaf,afar1241
ren,rend1243
ret,tani1257
saw,sabu1255
smt,umat1237
tap,taia1239
tvl,tuva1244
yaz,yazg1240
ylb,mart1256
agd,dupa1235
ajg,ajab1235
alk,arop1243
arj,gulf1241
avk,avik1243
avo,avok1242
ayi,anyi1245
bak,baka1272
bas,basa1284
bga,beng1282
bgn,bugu1246
bid,bidi1241
big,yulu1243
bin,bina1277
bku,mokp1239
blg,bala1310
blu,luba1249
bmz,tumz1238
bnb,buna1275
bni,bini1246
bnk,bank1256
bob,bang1354
bsi,siwi1239
bus,busa1253
cai,suri1267
cak,kaqc1270
chb,cham1313
chn,chan1310
cld,chal1275
cmr,mara1382
cqt,chiq1248
cro,crow1244
daw,daww1239
drg,darg1241
dul,drun1238
eny,enya1247
fon,fonn1241
gam,gamo1243
gel,gela1263
gil,gila1241
git,gitx1241
gnd,gaan1243
guh,guhu1244
gwo,tyap1238
hdi,hdii1240
hem,hemb1242
hhu,hang1263
hna,mina1276
hya,haya1250
ifm,teke1274
iha,ihaa1241
jar,jara1263
jlu,luwo1239
jug,tase1235
kai,kaia1245
kdw,kadi1248
kga,nucl1379
kgr,kagu1239
kgy,kyer1238
khd,kham1282
kie,kire1240
kpo,ikpo1238
kum,kuma1273
kwy,sans1272
kxo,kxoe1243
kyo,kany1247
kyq,nuuc1236
kyz,kaya1329
laf,lafo1243
ldo,orok1266
leg,lega1249
les,lese1243
lmb,lamb1271
lmu,lame1260
lul,lule1238
lun,tase1235
ma,made1252
mag,east2352
mas,masa1322
mbi,bamb1266
mbl,mbol1247
mco,coat1238
mda,mada1293
mdg,mund1325
mgh,maga1260
mgq,mang1398
mij,miju1243
mkg,mand1436
mkr,arua1260
mmi,mamb1294
mnz,monz1249
mof,mofu1248
mtt,wamp1249
mua,makh1264
muu,mund1330
mwo,motl1237
mxy,yoso1239
myg,mayo1261
mzn,maza1291
nal,nali1244
nbr,ngab1239
ncm,ntch1242
ndu,ndum1239
ngb,ngba1285
nif,niua1240
nke,nkem1242
nma,maon1238
nrg,nane1238
oir,kalm1243
one,molm1235
ord,peri1253
orw,waat1238
psw,port1285
rag,hano1246
rao,raoo1244
rji,raji1240
sar,kapr1245
sec,seco1241
sgb,mani1235
shb,shab1252
shd,sher1257
shy,east2337
sil,dars1235
sle,samb1305
sme,siam1242
smp,shom1245
stn,pedi1238
sub,subi1246
sud,sude1239
sug,assa1269
tba,sina1271
tbw,taab1238
tgn,tugu1245
tgo,tsog1243
thk,thak1245
thu,thul1246
tia,tima1241
tmg,tama1336
tnk,tung1290
trw,torw1241
tsf,colo1256
ttd,tetu1245
tts,take1255
ura,urav1235
vnm,vinm1237
wir,wira1265
wme,wamb1257
yam,yami1256
zar,zarm1239
ano,nung1282
bkt,brok1247
blj,kaci1244
boz,tiey1235
deg,dege1246
dha,daas1238
dhi,dhiv1236
dug,gaww1239
gol,gola1255
grg,gura1252
gus,gusi1247
jam,djam1255
kda,kond1295
kod,koda1255
kuk,bari1284
laz,lazz1240
lml,nucl1327
mig,miga1249
mto,kuma1274
myr,mats1244
nmi,isth1242
nse,nsen1242
olu,olut1240
sgu,sang1333
sir,siar1238
ski,kild1236
taf,sapo1253
tis,tibe1272
tmm,malo1243
ywr,yawu1244
zaq,sant1451
zaz,diml1238
zch,chim1300
nic,cent1990
pny,pany1241
yna,nauk1242
adt,adyg1241
afr,afri1274
bdc,berb1259
bnd,band1352
fri,east2288
gji,guri1247
hwc,hawa1247
iir,papu1250
jcr,jama1262
klg,kulu1253
knq,krio1252
ktz,kati1270
kyn,koyu1237
lcr,guad1242
lma,loma1260
mbu,mana1298
mce,beli1260
mcr,mori1278
mds,mala1481
pap,papi1253
rsh,shug1248
tbs,taba1259
tmu,musl1236
toq,toab1237
tpi,tokp1240
agb,legb1242
bum,tean1237
ddj,godi1239
dmi,dumi1241
kau,kaul1240
leb,ngel1238
lgt,logo1259
mko,muku1242
mlu,male1289
moa,mono1273
msm,muso1238
ney,neyo1238
pra,pras1239
ron,ronn1241
rov,rovi1238
ssa,west2465
tan,nucl1696
tke,toke1240
tvt,tuts1235
zya,yatz1235
oix,ixte1237
arr,east2379
bly,nija1241
bxj,bayu1240
dhl,dhal1245
ggd,guga1239
gny,guny1241
guf,gupa1247
kyt,kayt1238
lnj,leni1238
mdb,mudb1240
mrj,ngad1258
nlr,ngar1286
nlu,ngar1287
nly,nyam1271
nyr,nyan1301
ump,umpi1239
vka,kari1304
wbt,wanm1242
wgg,wang1290
wgu,waru1264
wkw,waka1274
wru,waru1265
wwr,woiw1237
ylr,yala1262
yyg,yayg1236
bad,bade1248
inr,west2618
kbl,kaby1243
klb,huba1236
krg,shon1251
kwm,kwaa1269
nku,kenu1236
uri,urim1252
jun,juan1238
mic,mikm1235
mud,mund1327
qta,nort2980
rej,reja1240
ven,vend1245
bro,torr1261
can,cand1248
klk,kuoo1238
kna,kari1311
mle,male1284
mlm,mlab1235
nad,nade1244
psj,sanj1285
srm,sara1340
zsq,sanj1284
ago,ango1258
kji,nort2641
tay,tayo1238
atc,urip1239
cch,choc1279
fue,east2447
ibi,ibib1240
klq,kala1397
kwr,kwam1252
nel,kuma1276
nro,naro1249
nto,ntom1248
see,taro1264
sum,maya1285
tst,tsat1238
uku,uppe1438
kin,kiny1244
ktt,kott1239
snn,soni1259
urh,urho1239
bec,chit1275
frw,west2354
ots,east2556
rka,vlax1238
tda,toda1252
boi,boik1241
cea,swam1239
cml,caml1239
cua,cuaa1241
dhb,baya1257
emm,amii1238
esm,atac1235
gog,gogo1265
har,haru1245
kdz,coas1294
kje,kore1283
kkw,kara1289
kll,kalu1248
kmw,kamu1258
kno,kano1245
kyp,kaya1330
lis,lisu1250
luc,luch1239
mch,mach1267
mey,meny1245
mhk,mehe1243
mhl,misi1242
mii,tama1331
mir,miri1266
mqf,momu1241
ory,orya1242
puq,puqu1242
shh,shar1245
sim,sime1241
sko,nucl1634
tal,tali1258
tbt,toba1266
tbx,seke1240
tuy,tuyu1244
uru,uruu1244
wn,wikn1245
wog,woga1249
wom,womo1238
wth,wath1238
yah,yama1264
auy,awiy1238
bah,xiri1243
bnm,binu1245
bou,taga1278
cog,cogu1240
com,maor1244
crg,east2555
dam,mala1522
fni,nige1253
grj,huar1255
kwe,west2635
ldn,ladi1250
lga,onto1237
mhu,mbal1255
mjk,mand1419
mxa,atat1238
myo,mayo1264
owc,west2721
pen,peng1244
rbu,balk1252
rmc,roma1326
srl,lowe1385
ssh,boro1277
sus,susu1250
way,waya1270
xam,xamm1241
aci,achi1256
bub,bube1242
coi,chor1273
dua,dual1243
fea,east2288
fno,nort2626
gbc,uppe1455
glc,gali1258
gre,kala1399
grn,fare1241
hcr,hait1244
her,here1253
izh,ingr1248
ksu,kash1274
kug,mand1415
lge,nort2627
lno,ladi1251
mqc,guad1242
orb,bora1271
pcm,poqo1253
pri,prin1242
sap,sapu1248
sey,sese1246
sou,uppe1395
vep,veps1250
ako,cypr1248
alx,bata1292
ami,amis1246
anx,andi1255
ars,sana1295
bat,bata1301
beg,idaa1241
biq,sara1326
bkd,binu1244
bok,boko1266
bpa,bura1292
dbr,dutc1256
dli,dutc1256
duz,zeeu1238
gau,bava1246
gba,bava1246
gbe,swis1247
gbl,stan1295
gdf,gudu1252
gha,stan1295
gma,stan1295
gos,swis1247
gpz,swis1247
grp,kols1241
gtg,swis1247
gth,stan1295
gti,stan1295
gwe,west2356
gzu,swis1247
ibn,iban1267
isn,isna1241
itu,piem1238
kbi,inpu1234
kuy,teng1267
lch,lach1248
lov,lave1248
mgn,magu1243
mit,mitu1240
mmu,nege1240
nvs,gily1242
nyl,nyal1254
pte,pait1244
qcu,cusc1236
rru,nyor1246
tgb,tagb1258
wai,waiw1244
wll,wall1257
ydb,east2295
ydl,east2295
ygn,yagn1238
ylt,east2295
ymi,yami1254
yms,yems1235
amk,amar1274
arz,nucl1235
bit,biat1246
bjs,sout2918
brl,lowa1242
cme,east2563
crq,carr1249
cul,culi1244
dat,dato1239
den,deni1241
hmd,hmon1333
hyo,asho1236
jah,jeha1242
jmm,jama1261
kag,kome1238
kbr,bara1370
keo,keoo1238
khu,khum1248
klt,kela1258
knu,rapo1238
krf,kora1294
ktp,mala1479
lud,lund1271
lur,nort2645
mbg,mbug1240
mel,cent2101
mhm,besi1244
mli,mali1284
mll,mola1238
mnr,mand1442
msy,west2418
ngy,ngar1235
nrm,naro1251
ore,orej1242
prc,pare1272
smd,sema1269
tht,tehi1237
tll,taul1251
trn,tere1279
vaf,vafs1240
wgl,waig1243
wur,waur1244
arn,chad1249
hsl,hais1244
als,alse1251
ama,amar1272
ari,arib1241
atm,kunz1244
awi,aeky1238
ayr,ayor1240
bau,bauu1244
bch,tach1249
bia,bila1255
boa,kuni1265
gjj,guaj1255
grs,garu1246
iwa,iwai1244
jrw,jara1245
mke,meke1243
mkl,makl1246
mmw,mamb1296
mnv,mina1269
mpu,mpur1239
mug,barg1252
neh,neha1247
rik,rikb1245
sen,nucl1396
tai,taha1241
tet,tete1250
tum,tuml1238
wya,wyan1247
xer,xere1240
yqy,yaqa1246
zen,zena1248
brk,beri1254
kln,wers1238
swv,swed1254
vat,lako1244
wyn,waya1269
xun,kung1261
ahu,aghu1255
mcf,mich1243
nbh,ghul1238
nbm,ngba1284
plr,palo1243
prd,duru1236
sra,sran1240
srr,serr1255
wrp,waro1242
yav,hava1248
gnb,kunb1251
mbo,nucl1458
pop,mezo1235
atu,tuni1259
bon,bong1291
cyn,chey1247
ins,east2534
ise,isek1239
mtg,mont1268
tem,temm1241
tga,tang1348
aja,ajas1235
alc,alle1238
awy,awyi1241
bbl,dibo1245
bem,bemb1257
boj,damu1236
iat,iatm1242
jwr,jama1261
kbo,apma1241
knb,badi1247
kti,yong1280
kus,kusu1250
mdl,madn1237
mem,mane1266
mgi,mail1248
mni,moni1261
mom,nucl1452
mri,moro1289
mrr,mari1419
mtk,matu1261
nmd,samo1303
omh,omah1247
pis,asue1235
pun,wadj1254
ria,rian1263
she,sher1255
slg,sulu1241
tki,tuki1240
wtm,wata1253
yao,yaoo1241
yei,yeii1239
ylm,yelm1242
yns,yans1239
yrm,yuru1243
zim,zima1244
abb,chad1249
anl,nort3139
ard,aran1237
ark,arak1252
bhu,mund1320
brz,birr1240
buk,buku1249
csh,cash1254
cte,tepe1279
dbd,tait1250
goj,guja1253
ido,idom1241
kil,luba1250
kow,winy1241
kte,kete1252
kyg,keny1279
lob,lobi1245
loz,lozi1239
mgo,mong1338
mop,mopa1243
ndg,ndog1248
nen,nene1249
nng,nyan1304
npn,naga1394
ntn,nate1242
nub,nubi1253
pta,dumb1241
rav,balk1252
rsu,roma1326
sgl,seng1278
sva,svan1243
vag,vagl1239
ykm,yako1252
baf,bafu1246
nnn,nort2784
dyu,dyul1238
kgm,kago1247
ksm,kase1253
mkn,mank1251
awk,pong1250
taz,taly1247
tmi,tata1255
tsp,tami1289
gdk,pott1240
akr,arik1262
amd,amdo1237
apc,mesc1238
beb,bena1264
bse,cent2194
cco,tutu1242
gso,kala1399
jem,jeme1245
khw,khow1242
kic,kick1244
klh,kala1372
kto,kato1244
mgl,ming1252
mth,tlah1239
mtl,matt1238
mxs,sila1250
mxz,coat1241
nit,diti1235
pem,pemo1248
pmn,nort2966
pot,pota1247
say,sayu1241
tnb,ango1257
trg,tewa1260
tws,sout2961
aba,abau1245
asu,toca1235
ayw,ayiw1239
bdw,baha1258
bgm,bang1363
bgs,baga1272
bgz,bong1289
bol,boli1255
boq,damu1236
cga,moch1256
chd,chau1259
ctw,cata1286
cuc,timo1237
dma,duma1253
dok,ngom1268
edo,edol1239
eko,koti1238
foe,foii1241
guw,gunn1250
heh,hehe1240
hei,heil1246
hol,holo1240
huc,huaa1248
ige,iged1239
isi,isir1237
jad,tibe1272
kae,kaki1249
kby,kabi1261
khn,khun1259
kkq,kuik1246
knz,kham1282
kqq,kren1239
ksn,suoy1242
kyr,kark1258
lab,labu1248
lgi,lang1320
lic,hlai1239
mbe,mber1257
mdw,mbos1242
mkd,mako1251
mkq,ngem1255
mkz,maka1304
mrc,rong1264
msq,halk1245
mxe,mele1250
nbe,ngom1268
ndi,sout2784
ndr,fiji1243
ngu,nort2836
nnd,nend1239
nus,nusu1239
owi,owin1240
png,pang1287
pnx,pana1307
pog,pogo1243
ral,ralt1242
rga,rong1268
rim,nyat1246
rpa,tibe1272
skm,suku1261
sku,suku1259
skw,shek1243
tdi,tibe1272
tdr,tibe1272
tiv,tivv1240
tpr,tupu1244
tsr,taus1253
tye,tyar1236
wec,wels1247
wlw,warl1256
wna,wann1242
wwa,waam1244
xns,kana1283
acn,acha1249
amt,amdo1237
han,hani1248
idu,idum1241
mil,damu1236
mpo,myen1241
nmm,mana1288
ryu,cent2126
tat,tata1257
ybi,yamp1242
yi,sich1238
kbt,kaba1276
klr,shah1254
tls,taly1247
dng,ding1239
hwr,gura1251
kmi,kami1256
sge,song1303
trt,tern1247
vif,vili1238
amm,amap1240
ppc,piap1246
buj,kwas1243
els,else1239
gdb,bodo1267
luy,saam1283
bkn,orok1266
tsn,tson1249
hli,halk1245
lye,lyel1241
nom,noma1263
ojm,chip1241
sur,surs1246
tpc,tepe1278
ygd,diii1241
eml,emba1238
aji,ajie1238
yrr,pume1238
gno,guan1269
nhp,poch1244
zpi,sout3005
brj,burj1242
dab,nucl1683
kko,kura1250
lnw,lonw1238
ptp,patp1243
bgi,bagr1243
sik,sika1262
ewa,ewee1241
gdr,gida1247
kjr,koor1239
nge,ngem1255
apj,jica1244
kao,kara1487
npi,nige1257
abw,west2630
alg,algo1255
arx,area1240
ati,atik1240
ayn,ainu1251
beo,beot1247
bnq,beng1286
bpb,bahn1262
brc,boru1252
cab,cabe1245
cat,embe1260
cec,chic1271
clc,cola1237
cma,chim1309
cmc,come1251
cpw,chip1241
crl,caro1242
csf,usil1237
csk,jola1262
ctt,tata1258
cur,curr1243
cut,cuit1236
dca,casi1235
dda,dhuw1249
dgx,dege1248
gna,guan1268
gyb,guay1257
hmb,huam1247
ill,miam1252
inu,nort2943
itw,itaw1240
ixc,ixca1245
kaq,kaur1267
kdg,kari1317
kea,qanj1241
kgt,west2618
kky,kank1243
klz,kala1384
kpn,kapi1249
ktb,kitu1246
kth,gwic1235
lau,lauu1247
mca,maca1260
mcg,maca1259
mcn,macu1260
mhc,mohe1244
mjc,sanj1281
mkb,coas1301
moc,shek1244
mpy,mapo1246
mti,bari1297
muy,muyu1244
mwl,lake1258
mwp,plai1259
mxg,sanm1295
mxu,chay1249
nhx,guer1241
nnm,tuva1244
nnt,nant1249
npa,isth1241
nsk,nask1242
nsz,high1278
nuk,nuka1242
oko,adiv1239
oma,omag1248
onn,onon1246
osm,quer1236
pla,play1240
pow,powh1243
prt,pira1254
psv,coyo1236
pui,puin1248
qan,chiq1249
qca,caja1238
rad,rade1240
rgn,nort2994
rng,reng1252
rnn,renn1242
slv,sout2959
smj,sema1266
sri,siri1274
tbe,tigr1270
tnj,tana1289
tnl,lowe1425
tos,high1243
trc,chic1273
tsj,tewa1260
tty,tatu1247
tub,tuba1279
tut,nort2941
tzt,tzel1254
ved,vedd1240
yak,yaka1269
yrt,yuru1263
yyo,yort1237
zaj,sier1250
zam,mixt1426
zfl,fran1266
zqr,rayo1235
fum,maas1239
abd,abid1235
ape,safe1240
bgl,bugl1243
bhi,bhil1251
bhn,bahi1254
cum,chum1261
dym,djim1235
gun,nugu1242
hlb,halb1244
kak,kama1370
kkb,konk1269
kkz,kukn1238
kmt,kemt1242
mav,mari1435
mdu,mund1326
mmp,mamp1244
mwa,mart1256
mwc,mawc1242
naf,nafa1258
tif,tifa1245
vas,vasa1239
wob,weno1238
ykn,yaka1277
zte,texm1235
alt,swis1247
ast,astu1245
bdg,bada1257
bru,east2332
crh,chru1239
fli,west2454
gdl,guad1242
gml,gami1243
grt,goro1259
hre,hree1244
lux,luxe1241
mol,roma1327
pak,paka1251
pro,occi1239
rbg,sint1235
rlo,vlax1238
ada,adam1238
asl,amer1248
aus,aust1271
bsl,brit1235
csl,chin1283
dge,germ1281
fsl,finn1310
gsl,gree1271
hks,hong1241
ics,icel1236
ipi,indi1237
ipk,paki1242
irs,iris1235
isl,inte1259
iss,isra1236
kkl,beng1239
lii,ital1275
lsa,arge1236
lsb,braz1236
lse,span1263
lsf,fren1243
lsq,queb1245
ned,dutc1253
nih,japa1238
nzs,newz1236
rsl,russ1255
ssl,kore1273
svt,swed1236
ths,thai1240
tsl,tanz1238
tui,turk1288
tzi,taiw1241
ugs,ugan1238
vla,vlaa1235
ksl,keny1241
lgp,port1277
nte,norw1255
psl,plai1235
usl,urub1243
abh,baha1259
akm,marm1234
aul,aulu1238
bmn,bamu1253
bos,bosn1245
fbf,west2454
fiw,west2519
gcy,mode1248
gfr,guia1246
gho,ghot1243
gro,guro1248
gvi,bava1246
ifi,ital1282
inj,indo1316
itb,emil1241
itg,ligu1248
itn,neap1235
kij,kitj1240
kou,komc1235
lns,lamn1239
mbz,mbee1250
mnk,east2426
myk,mala1479
oi,oyyy1238
spc,stan1288
yba,yamb1251
