L.glottocode,L.name,AVG(nb_phonemes),walscode
juho1239,Ju|'hoan,141.0,juh
lezg1247,Lezgian,71.5,lez
hind1269,Hindi,68.4,hin
abkh1244,Abkhaz,66.0,abk
kron1241,Krongo,62.0,kro
east2652,Oromo (Harar),60.0,orh
hunz1247,Hunzib,60.0,hzb
ingu1240,Ingush,58.5,ing
mezq1235,Otomí (Mezquital),58.0,otm
hung1274,Hungarian,52.0,hun
egyp1253,Arabic (Egyptian),51.0,aeg
seme1247,Semelai,51.0,sml
west2632,Acoma,51.0,aco
nucl1310,Burmese,51.0,brm
nava1243,Navajo,50.5,nav
buru1296,Burushaski,50.2,bur
bagi1246,Bagirmi,48.0,bag
iraq1241,Iraqw,46.5,irq
nucl1305,Kannada,45.5,knd
cent1989,Khmer,43.333333333333336,khm