Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
Sikkimese,sip,Bodic,Sino-Tibetan,Eurasia,27.83,88.5,India
Sindhi,snd,Indic,Indo-European,Eurasia,26,69,Pakistan
Sinhala,sin,Indic,Indo-European,Eurasia,7,80.5,Sri Lanka
Siona,snn,Tucanoan,Tucanoan,South America,0.33,-76.25,Ecuador
Sipakapense,qum,Mayan,Mayan,North America,15.25,-91.75,Guatemala
Siriano,sri,Tucanoan,Tucanoan,South America,0.75,-70.17,Colombia
Sirion�,srq,Tupi-Guaran�,Tupian,South America,-15.58,-64,Bolivia
Sisaala,sld,Southern-Central Gur,Niger-Congo,Africa,10.83,-2.67,Ghana
Skou,skv,Western Skou,Skou,Papunesia,-2.67,140.92,Indonesia
Slovak,slk,Slavic,Indo-European,Eurasia,49,20,Slovakia
Slovene,slv,Slavic,Indo-European,Eurasia,46,15,Slovenia
So,teu,Kuliak,Eastern Sudanic,Africa,2.58,34.75,Uganda
Soddo,gru,Semitic,Afro-Asiatic,Africa,8.5,38.5,Ethiopia
Solon,evn,Tungusic,Altaic,Eurasia,48,120,China
Somali,som,Lowland East Cushitic,Afro-Asiatic,Africa,3,45,Somalia
Songish,str,Central Salish,Salishan,North America,48.45,-123.33,Canada
Soninke,snk,Western Mande,Mande,Africa,15,-10.5,Burkina Faso
Sooke,str,Central Salish,Salishan,North America,48.33,-123.75,Canada
Soqotri,sqt,Semitic,Afro-Asiatic,Africa,12.5,54,Yemen
Sora,srb,Munda,Austro-Asiatic,Eurasia,20,84.33,India
Sorbian (Lower),dsb,Slavic,Indo-European,Eurasia,51.75,14.33,Germany
Sorbian (Upper),hsb,Slavic,Indo-European,Eurasia,51.83,14.5,Germany
Spanish,spa,Romance,Indo-European,Eurasia,40,-4,Spain
Spanish (Canary Islands),spa,Romance,Indo-European,Eurasia,28,-15.58,Spain
Spitian,bod,Bodic,Sino-Tibetan,Eurasia,32.25,78,India
Spokane,spo,Interior Salish,Salishan,North America,47.67,-117.75,United States
Squamish,squ,Central Salish,Salishan,North America,49.67,-123.17,Canada
Sre,kpm,Bahnaric,Austro-Asiatic,Eurasia,11.5,108,Vietnam
Subiya,sbs,Bantoid,Niger-Congo,Africa,-17.75,24.92,Namibia
Suena,sue,Binanderean,Trans-New Guinea,Papunesia,-7.75,147.55,Papua New Guinea
Sui,swi,Kam-Tai,Tai-Kadai,Eurasia,26,107.5,China
Sukuma,suk,Bantoid,Niger-Congo,Africa,-2.83,32,Tanzania
Sundanese,sun,Malayo-Sumbawan,Austronesian,Papunesia,-7,107,Indonesia
Sursurunga,sgz,Oceanic,Austronesian,Papunesia,-4,152.77,Papua New Guinea
Susu,sus,Western Mande,Mande,Africa,10,-13,Guinea
Svan,sva,Kartvelian,Kartvelian,Eurasia,43,42.5,Georgia
Swahili,swh,Bantoid,Niger-Congo,Africa,-6.5,39,Tanzania
Swedish,swe,Germanic,Indo-European,Eurasia,60,15,Finland
Swedish (V�sterbotten),swe,Germanic,Indo-European,Eurasia,64.25,19.75,Sweden
Taba,mky,South Halmahera - West New Guinea,Austronesian,Papunesia,0,127.5,Indonesia
Tacana,tna,Tacanan,Tacanan,South America,-13.5,-68,Bolivia
Tagalog,tgl,Greater Central Philippine,Austronesian,Papunesia,15,121,Philippines
Tajik,tgk,Iranian,Indo-European,Eurasia,38.67,70,Tajikistan
Tama,tma,Taman,Eastern Sudanic,Africa,14.5,22,Chad
Tamabo,mla,Oceanic,Austronesian,Papunesia,-15.67,167.17,Vanuatu
Tamashek,taq,Berber,Afro-Asiatic,Africa,20,-2,Mali
Tamil,tam,Southern Dravidian,Dravidian,Eurasia,11,78.5,India
Tamil (Spoken),tam,Southern Dravidian,Dravidian,Eurasia,11,78,India
Tampulma,tpm,Southern-Central Gur,Niger-Congo,Africa,10.42,-0.58,Ghana
Tanacross,tcb,Athapaskan,Na-Dene,North America,63.5,-143.5,United States
Tangale,tan,West Chadic,Afro-Asiatic,Africa,9.75,11.33,Nigeria
Tapiet�,tpj,Tupi-Guaran�,Tupian,South America,-19.75,-61.67,Paraguay
Tariana,tae,Inland Northern Arawakan,Arawakan,South America,1,-69.17,Brazil
Tarok,yer,Platoid,Niger-Congo,Africa,9,10.08,Nigeria
Tashlhiyt,shi,Berber,Afro-Asiatic,Africa,31,-5,Morocco
Tatana',txx,North Borneo,Austronesian,Papunesia,5.5,115.5,Malaysia
Tatar,tat,Turkic,Altaic,Eurasia,56,49.5,Russia
Tatar (Baraba),tat,Turkic,Altaic,Eurasia,55.33,78.33,Russia
Tatar (Mishar),tat,Turkic,Altaic,Eurasia,55.5,49,Russia
Tati (Southern),tks,Iranian,Indo-European,Eurasia,36,49.67,Iran
Tatuyo,tav,Tucanoan,Tucanoan,South America,0.42,-70.5,Colombia
Taushiro,trr,Taushiro,Taushiro,South America,-3.25,-75.5,Peru
Tausug,tsg,Greater Central Philippine,Austronesian,Papunesia,6,121,Malaysia
Tehuelche,teh,Chon Proper,Chon,South America,-48,-68,Argentina
Teke (Southern),kkw,Bantoid,Niger-Congo,Africa,-2.33,14.5,Congo
Telefol,tlf,Ok,Trans-New Guinea,Papunesia,-5,141.75,Papua New Guinea
Telugu,tel,South-Central Dravidian,Dravidian,Eurasia,16,79,India
Tem,kdh,Southern-Central Gur,Niger-Congo,Africa,8.67,0.5,Togo
Temein,teq,Temein,Eastern Sudanic,Africa,11.92,29.42,Sudan
Temiar,tea,Aslian,Austro-Asiatic,Eurasia,5,101.5,Malaysia
Temne,tem,Mel,Niger-Congo,Africa,8.67,-13.08,Sierra Leone
Tenyer,kza,Senufo,Niger-Congo,Africa,10.67,-4.5,Burkina Faso
Tepehua (Huehuetla),tee,Totonacan,Totonacan,North America,20.5,-98,Mexico
Tepehua (Tlachichilco),tpt,Totonacan,Totonacan,North America,20.58,-98.25,Mexico
Tera,ttr,Biu-Mandara,Afro-Asiatic,Africa,11,11.83,Nigeria
Ter�na,ter,Bolivia-Parana,Arawakan,South America,-20,-56,Brazil
Ternate,tft,North Halmaheran,West Papuan,Papunesia,0.83,127.25,Indonesia
Tetun,tet,Central Malayo-Polynesian,Austronesian,Papunesia,-9,126,East Timor
Tetun Dili,tet,Central Malayo-Polynesian,Austronesian,Papunesia,-8.58,125.58,East Timor
Tewa (Arizona),tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,35.83,-110.42,United States
Tewa (Rio Grande),tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.25,-106.17,United States
Tewa (San Juan Pueblo),tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.08,-106.08,United States
Thadou,tcz,Kuki-Chin,Sino-Tibetan,Eurasia,24.42,93.92,India
Thai,tha,Kam-Tai,Tai-Kadai,Eurasia,16,101,Thailand
Thakali,ths,Bodic,Sino-Tibetan,Eurasia,29,83.75,Nepal
Thaypan,typ,Northern Pama-Nyungan,Pama-Nyungan,Australia,-14.83,143.17,Australia
Thulung,tdh,Mahakiranti,Sino-Tibetan,Eurasia,27.42,86.5,Nepal
Tibetan (Dingri),bod,Bodic,Sino-Tibetan,Eurasia,28.5,86.5,China
Tibetan (Drokpa),bod,Bodic,Sino-Tibetan,Eurasia,32.25,81.25,China
Tibetan (Modern Literary),bod,Bodic,Sino-Tibetan,Eurasia,29.83,91.5,China
Tibetan (Shigatse),bod,Bodic,Sino-Tibetan,Eurasia,29,89,China
Tibetan (Standard Spoken),bod,Bodic,Sino-Tibetan,Eurasia,30,91,China
Ticuna,tca,Ticuna,Ticuna,South America,-4,-70.5,Brazil
Tigak,tgc,Oceanic,Austronesian,Papunesia,-2.72,150.8,Papua New Guinea
Tigr�,tig,Semitic,Afro-Asiatic,Africa,16.5,38.5,Eritrea
Tigr� (Beni Amer),tig,Semitic,Afro-Asiatic,Africa,15.5,38,Eritrea
Tigrinya,tir,Semitic,Afro-Asiatic,Africa,14.5,38.5,Ethiopia
Tiipay (Jamul),dih,Yuman,Hokan,North America,32.17,-116.5,Mexico
Tikar,tik,Bantoid,Niger-Congo,Africa,5.83,11.67,Cameroon
Tiriyo,tri,Cariban,Cariban,South America,3.25,-55.75,Suriname
Tirmaga,suq,Surmic,Eastern Sudanic,Africa,5.75,35.25,Ethiopia
Tiruray,tiy,Bilic,Austronesian,Papunesia,6.75,124.17,Philippines
Tiv,tiv,Bantoid,Niger-Congo,Africa,7.5,9,Nigeria
Tiwa (Northern),twf,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.5,-105.5,United States
Tiwi,tiw,Tiwian,Tiwian,Australia,-11.5,131,Australia
Tlingit,tli,Tlingit,Na-Dene,North America,59,-135,United States
Toaripi,tqo,Eleman Proper,Eleman,Papunesia,-8.33,146.25,Papua New Guinea
Toba,tob,South Guaicuruan,Guaicuruan,South America,-26.5,-59,Argentina
Tod,sbu,Bodic,Sino-Tibetan,Eurasia,32.42,77.25,India
Toda,tcx,Southern Dravidian,Dravidian,Eurasia,11.42,76.75,India
Tofa,kim,Turkic,Altaic,Eurasia,53.75,98,Russia
Tol,jic,Tol,Tol,North America,14.67,-87,Honduras
Tonga (in Zambia),toi,Bantoid,Niger-Congo,Africa,-17,27,Zambia
Tongan,ton,Oceanic,Austronesian,Papunesia,-21.17,-175.17,Tonga
Tonkawa,tqw,Tonkawa,Tonkawa,North America,30.25,-96.75,United States
Toro So,dts,Dogon,Dogon,Africa,14.42,-3.25,Burkina Faso
Torwali,trw,Indic,Indo-European,Eurasia,34.25,72,Pakistan
Totonac (Papantla),top,Totonacan,Totonacan,North America,20.33,-97.33,Mexico
Trumai,tpy,Trumai,Trumai,South America,-11.92,-53.58,Brazil
Tsafiki,cof,Barbacoan,Barbacoan,South America,-1,-79.33,Ecuador
Tsez,ddo,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.25,45.75,Russia
Tshangla,tsj,Bodic,Sino-Tibetan,Eurasia,27.83,92.17,Bhutan
Tsimshian (Coast),tsi,Tsimshianic,Penutian,North America,52.5,-129,Canada
Tsou,tsu,Tsou,Austronesian,Papunesia,23.5,120.75,Taiwan
Tsova-Tush,bbl,Nakh,Nakh-Daghestanian,Eurasia,42.5,45.5,Georgia
Tuareg (Ahaggar),thv,Berber,Afro-Asiatic,Africa,23,6,Libya
Tuareg (Air),thv,Berber,Afro-Asiatic,Africa,19,9,Niger
Tuareg (Ghat),thv,Berber,Afro-Asiatic,Africa,25,10.17,Libya
Tucano,tuo,Tucanoan,Tucanoan,South America,0.5,-69.17,Colombia
Tuki,bag,Bantoid,Niger-Congo,Africa,4.58,11.5,Cameroon
Tulu,tcy,Southern Dravidian,Dravidian,Eurasia,12.75,75.33,India
T�mpisa Shoshone,par,Numic,Uto-Aztecan,North America,37,-117,United States
Tunen,tvu,Bantoid,Niger-Congo,Africa,4.75,10.67,Cameroon
Tunica,tun,Tunica,Tunica,North America,32.67,-91,United States
Tupuri,tui,Mbumic,Niger-Congo,Africa,10.17,14.75,Chad
Turkish,tur,Turkic,Altaic,Eurasia,39,35,Turkey
Turkmen,tuk,Turkic,Altaic,Eurasia,40,58,Turkmenistan
Tuvan,tyv,Turkic,Altaic,Eurasia,52,95,Russia
Tuyuca,tue,Tucanoan,Tucanoan,South America,0.5,-70.08,Colombia
Tzeltal,tzh,Mayan,Mayan,North America,16.83,-92.25,Mexico
Tzeltal (Aguacatenango),tzh,Mayan,Mayan,North America,16.42,-92.5,Mexico
Tzeltal (Tenejapa),tzh,Mayan,Mayan,North America,16.67,-92.33,Mexico
Tzotzil,tzo,Mayan,Mayan,North America,16.5,-92.67,Mexico
Tzutujil,tzj,Mayan,Mayan,North America,14.67,-91.33,Guatemala
Udihe,ude,Tungusic,Altaic,Eurasia,47.67,136.25,Russia
Udmurt,udm,Permic,Uralic,Eurasia,57.5,52.5,Russia
Ukrainian,ukr,Slavic,Indo-European,Eurasia,49,33,Ukraine
Uldeme,udl,Biu-Mandara,Afro-Asiatic,Africa,10.95,14.12,Cameroon
Umaua,cbd,Cariban,Cariban,South America,1,-72,Colombia
UMbundu,umb,Bantoid,Niger-Congo,Africa,-12.5,15,Angola
Umpila,ump,Northern Pama-Nyungan,Pama-Nyungan,Australia,-13.5,143.5,Australia
Unami,unm,Algonquian,Algic,North America,40,-75.17,United States
Ungarinjin,ung,Worrorran,Worrorran,Australia,-16.33,126,Australia
Urarina,ura,Urarina,Urarina,South America,-4.5,-75.5,Peru
Urdu,urd,Indic,Indo-European,Eurasia,25,67,Pakistan
Uru,ure,Uru-Chipaya,Uru-Chipaya,South America,-16.75,-69,Bolivia
Urub�-Kaapor,urb,Tupi-Guaran�,Tupian,South America,-2.33,-46.5,Brazil
Usan,wnu,Madang,Trans-New Guinea,Papunesia,-4.83,145.17,Papua New Guinea
Usarufa,usa,Eastern Highlands,Trans-New Guinea,Papunesia,-6.42,145.58,Papua New Guinea
Ute,ute,Numic,Uto-Aztecan,North America,39,-109,United States
Uyghur,uig,Turkic,Altaic,Eurasia,40,80,China
Uzbek (Northern),uzn,Turkic,Altaic,Eurasia,40.67,66.5,Uzbekistan
Vagla,vag,Southern-Central Gur,Niger-Congo,Africa,9.42,-2.42,Ghana
Vai,vai,Western Mande,Mande,Africa,6.92,-11.25,Sierra Leone
Vata,dic,Kru,Niger-Congo,Africa,5.83,-5.42,C�te d'Ivoire
Veps,vep,Finnic,Uralic,Eurasia,60,35,Russia
Vietnamese,vie,Viet-Muong,Austro-Asiatic,Eurasia,10.5,106.5,Vietnam
Votic,vot,Finnic,Uralic,Eurasia,59.5,30,Russia
Waama,wwa,Northern-Central Gur,Niger-Congo,Africa,10.58,1.67,Benin
Wagawaga,wkw,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-26.5,152.5,Australia
Wagiman,waq,Wagiman,Wagiman,Australia,-14,131.25,Australia
Wai Wai,waw,Cariban,Cariban,South America,1,-59,Guyana
Waimaha,bao,Tucanoan,Tucanoan,South America,0.33,-70.25,Colombia
Wakhi,wbl,Iranian,Indo-European,Eurasia,36.5,72,Pakistan
Walmatjari,wmt,Western Pama-Nyungan,Pama-Nyungan,Australia,-19.5,125.75,Australia
Wambaya,wmb,Wambayan,Mirndi,Australia,-18.67,135.75,Australia
Wambon,wms,Awju-Dumut,Trans-New Guinea,Papunesia,-5.5,140.42,Indonesia
Wan,wan,Eastern Mande,Mande,Africa,7.83,-5.87,C�te d'Ivoire
Wangkangurru,wgg,Central Pama-Nyungan,Pama-Nyungan,Australia,-27,137,Australia
Wangkumara,xwk,Central Pama-Nyungan,Pama-Nyungan,Australia,-27.33,143,Australia
Wanman,wbt,Western Pama-Nyungan,Pama-Nyungan,Australia,-22,123,Australia
Wantoat,wnc,Finisterre-Huon,Trans-New Guinea,Papunesia,-6.17,146.5,Papua New Guinea
Waorani,auc,Waorani,Waorani,South America,-1,-76.5,Ecuador
Wapishana,wap,Wapishanan,Arawakan,South America,2.67,-60,Guyana
Wappo,wao,Wappo,Wappo-Yukian,North America,38.5,-122.5,United States
Warao,wba,Warao,Warao,South America,9.33,-61.67,Venezuela
Waray (in Australia),wrz,Warayic,Gunwinyguan,Australia,-13.17,131.25,Australia
Wardaman,wrr,Yangmanic,Yangmanic,Australia,-15.5,131,Australia
Warekena,gae,Alto-Orinoco,Arawakan,South America,1.5,-67.5,Colombia
Wari',pav,Chapacura-Wanham,Chapacura-Wanham,South America,-11.33,-65,Brazil
Waris,wrs,Border,Border,Papunesia,-3.17,141,Indonesia
Warlpiri,wbp,Western Pama-Nyungan,Pama-Nyungan,Australia,-20,132.33,Australia
Warluwara,wrb,Western Pama-Nyungan,Pama-Nyungan,Australia,-22,138.5,Australia
Warndarang,wnd,Warndarang,Mangarrayi-Maran,Australia,-14.42,135.58,Australia
Warrgamay,wgy,Northern Pama-Nyungan,Pama-Nyungan,Australia,-18.58,146.08,Australia
Warrongo,wrg,Northern Pama-Nyungan,Pama-Nyungan,Australia,-18,145,Australia
Warrwa,wwr,Nyulnyulan,Nyulnyulan,Australia,-17.5,123.5,Australia
Warumungu,wrm,Western Pama-Nyungan,Pama-Nyungan,Australia,-19.5,134.5,Australia
Washo,was,Washo,Washo,North America,39.25,-120,United States
Watjarri,wbv,Western Pama-Nyungan,Pama-Nyungan,Australia,-26,117.5,Australia
Waunana,noa,Choco,Choco,South America,4,-77,Colombia
Waur�,wau,Central Arawakan,Arawakan,South America,-13,-53,Brazil
Wayampi,oym,Tupi-Guaran�,Tupian,South America,1,-52,Brazil
Wayana,way,Cariban,Cariban,South America,3.25,-54.17,French Guiana
Welsh,cym,Celtic,Indo-European,Eurasia,52,-3,United Kingdom
Welsh (Colloquial),cym,Celtic,Indo-European,Eurasia,52.75,-3.58,United Kingdom
West Makian,mqs,North Halmaheran,West Papuan,Papunesia,0.5,127.58,Indonesia
Wichita,wic,Caddoan,Caddoan,North America,33.33,-97.33,United States
Wik Munkan,wim,Northern Pama-Nyungan,Pama-Nyungan,Australia,-13.92,141.75,Australia
Wik Ngathana,wig,Northern Pama-Nyungan,Pama-Nyungan,Australia,-13.92,141.5,Australia
Wirangu,wgu,Central Pama-Nyungan,Pama-Nyungan,Australia,-32,134,Australia
Wiyot,wiy,Wiyot,Algic,North America,40.83,-124.17,United States
Wobe,wob,Kru,Niger-Congo,Africa,7.42,-7.33,C�te d'Ivoire
Woisika,woi,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.25,124.83,Indonesia
Wolaytta,wal,North Omotic,Afro-Asiatic,Africa,6.83,37.75,Ethiopia
Wolof,wol,Wolof,Niger-Congo,Africa,15.25,-16,Gambia
Worora,wro,Worrorran,Worrorran,Australia,-15.67,124.67,Australia
Wu,wuu,Chinese,Sino-Tibetan,Eurasia,31.67,119.92,China
Wyandot,wya,Northern Iroquoian,Iroquoian,North America,44.33,-77.5,Canada
Xav�nte,xav,Ge-Kaingang,Macro-Ge,South America,-15,-52.5,Brazil
Xer�nte,xer,Ge-Kaingang,Macro-Ge,South America,-10,-48.17,Brazil
Xhosa,xho,Bantoid,Niger-Congo,Africa,-32,27,South Africa
Xiriana,xir,Bahuanic,Arawakan,,2.67,-62.5,Brazil
Xokleng,xok,Ge-Kaingang,Macro-Ge,South America,-24.5,-50,Brazil
Yagaria,ygr,Eastern Highlands,Trans-New Guinea,Papunesia,-6.33,145.42,Papua New Guinea
Yaghnobi,yai,Iranian,Indo-European,Eurasia,39,69,Tajikistan
Yagua,yad,Peba-Yaguan,Peba-Yaguan,South America,-3.5,-72,Peru
Yahgan,yag,Y�mana,Y�mana,South America,-55,-68,Chile
Yakut,sah,Turkic,Altaic,Eurasia,62,130,Russia
Yalarnnga,ylr,Northern Pama-Nyungan,Pama-Nyungan,Australia,-22,140,Australia
Yamba,yam,Bantoid,Niger-Congo,Africa,6.42,11.08,Cameroon
Yaminahua,yaa,Panoan,Panoan,South America,-8,-73,Brazil
Yana,ynn,Yana,Hokan,North America,40.5,-122,United States
Yankuntjatjara,kdd,Western Pama-Nyungan,Pama-Nyungan,Australia,-27,132,Australia
Yanom�mi,wca,Yanomam,Yanomam,South America,2.33,-63,Brazil
Yansi,yns,Bantoid,Niger-Congo,Africa,-3.83,18,Democratic Republic of Congo
Yanyuwa,jao,Western Pama-Nyungan,Pama-Nyungan,Australia,-16.42,137.17,Australia
Yao (in Malawi),yao,Bantoid,Niger-Congo,Africa,-14.5,35.5,Mozambique
Yapese,yap,Yapese,Austronesian,Papunesia,9.58,138.17,Micronesia
Yaqui,yaq,Cahita,Uto-Aztecan,North America,27.5,-110.25,Mexico
Yareba,yrb,Yareban,Yareban,Papunesia,-9.5,148.5,Papua New Guinea
Yaruro,yae,Yaruro,Yaruro,South America,7,-68,Venezuela
Yawa,yva,Yawa,Yawa,Papunesia,-1.75,136.25,Indonesia
Yawuru,ywr,Nyulnyulan,Nyulnyulan,Australia,-18,122.5,Australia
Yay,pcc,Kam-Tai,Tai-Kadai,Eurasia,22.42,104.75,Vietnam
Yazva,kpv,Permic,Uralic,Eurasia,65,55,Russia
Yemba,ybb,Bantoid,Niger-Congo,Africa,5.42,10.08,Cameroon
Yemsa,jnj,North Omotic,Afro-Asiatic,Africa,7.83,37.33,Ethiopia
Yessan-Mayo,yss,Tama Sepik,Sepik,Papunesia,-4.17,142.58,Papua New Guinea
Yeyi,yey,Bantoid,Niger-Congo,Africa,-20,23.5,Namibia
Yiddish (Bessarabian),ydd,Germanic,Indo-European,Eurasia,47,28.5,Moldova
Yiddish (Lithuanian),ydd,Germanic,Indo-European,Eurasia,55,25,Lithuania
Yiddish (Lodz),ydd,Germanic,Indo-European,Eurasia,51.75,19.42,Poland
Yidiny,yii,Northern Pama-Nyungan,Pama-Nyungan,Australia,-17,145.75,Australia
Yil,yll,Wapei-Palei,Torricelli,Papunesia,-3.53,142.15,Papua New Guinea
Yindjibarndi,yij,Western Pama-Nyungan,Pama-Nyungan,Australia,-21.75,117.92,Australia
Yingkarta,yia,Western Pama-Nyungan,Pama-Nyungan,Australia,-25.17,114.83,Australia
Yoruba,yor,Defoid,Niger-Congo,Africa,8,4.33,Nigeria
Yucatec,yua,Mayan,Mayan,North America,20,-89,Mexico
Yuchi,yuc,Yuchi,Yuchi,North America,35.75,-86.75,United States
Yucuna,ycn,Inland Northern Arawakan,Arawakan,South America,-0.75,-71,Colombia
Yukaghir (Kolyma),yux,Yukaghir,Yukaghir,Eurasia,65.75,150.83,Russia
Yukaghir (Tundra),ykg,Yukaghir,Yukaghir,Eurasia,69,155,Russia
Yuki,yuk,Yukian,Wappo-Yukian,North America,39.67,-123.5,United States
Yukpa,yup,Cariban,Cariban,South America,10.17,-72.75,Colombia
Yukulta,gcd,Tangkic,Tangkic,Australia,-17.33,138.83,Australia
Yulparija,mpj,Western Pama-Nyungan,Pama-Nyungan,Australia,-21,124,Australia
Yulu,yul,Bongo-Bagirmi,Central Sudanic,Africa,8.5,25.25,South Sudan
Yupik (Naukan),ynk,Eskimo,Eskimo-Aleut,Eurasia,66,-172,Russia
Yupik (Siberian),ess,Eskimo,Eskimo-Aleut,Eurasia,65,-173,Russia
Yupik (St. Lawrence Island),ess,Eskimo,Eskimo-Aleut,Eurasia,63.5,-170.5,United States
Yuracare,yuz,Yuracare,Yuracare,South America,-16.58,-65.25,Bolivia
Yurok,yur,Yurok,Algic,North America,41.33,-124,United States
Yuruti,yui,Tucanoan,Tucanoan,South America,1,-70.42,Colombia
Yuwaalaraay,kld,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-29.5,148,Australia
Zande,zne,Ubangi,Niger-Congo,Africa,4,26,Central African Republic
Zaparo,zro,Zaparoan,Zaparoan,South America,-2,-76.33,Ecuador
Zapotec (Isthmus),zai,Zapotecan,Oto-Manguean,North America,16.42,-95,Mexico
Zapotec (San Lucas Quiavin�),zab,Zapotecan,Oto-Manguean,North America,16.9,-96.47,Mexico
Zapotec (Zoogocho),zpq,Zapotecan,Oto-Manguean,North America,17.25,-96.25,Mexico
Zarma,dje,Songhay,Songhay,Africa,13.83,2.17,Niger
Zayse,zay,North Omotic,Afro-Asiatic,Africa,5.92,37.33,Ethiopia
Zazaki,diq,Iranian,Indo-European,Eurasia,39,41,Turkey
Zoque (Chimalapa),zoh,Mixe-Zoque,Mixe-Zoque,North America,16.75,-94.75,Mexico
Zoque (Copainal�),zoc,Mixe-Zoque,Mixe-Zoque,North America,17,-93.25,Mexico
Zoque (Ostuacan),zoc,Mixe-Zoque,Mixe-Zoque,North America,17.42,-93.3,Mexico
Zulu,zul,Bantoid,Niger-Congo,Africa,-30,30,South Africa
Zulu (Northern),zul,Bantoid,Niger-Congo,Africa,-28,31,South Africa
Zulu (Southern),zul,Bantoid,Niger-Congo,Africa,-31,30,South Africa
Zuni,zun,Zuni,Zuni,North America,35.08,-108.83,United States
